id,text_id,bunsetsu,text,value
0,8,平成２９年５月１６日から、,平成２９年５月１６日,20170516
1,8,平成２９年５月１６日から、,から,
2,8,令和２年３月２６日から,令和２年３月２６日,20200326
3,8,令和２年３月２６日から,から,
4,8,各支払済みまで,まで,
5,9,平成２９年５月１６日から、,平成２９年５月１６日,20170516
6,9,平成２９年５月１６日から、,から,
7,9,令和２年３月２６日から,令和２年３月２６日,20200326
8,9,令和２年３月２６日から,から,
9,9,各支払済みまで,まで,
10,9,平成２９年法律第４４号による,平成２９年,20170000
11,26,平成１２年１１月１０日公開日,平成１２年１１月１０日,20001110
12,26,平成１４年５月２２日登録日,平成１４年５月２２日,20020522
13,26,平成１７年７月１５日,平成１７年７月１５日,20050715
14,27,平成１６年１１月３０日公開日,平成１６年１１月３０日,20041130
15,27,平成１８年６月１５日,平成１８年６月１５日,20060615
16,27,平成１９年４月２０日,平成１９年４月２０日,20070420
17,30,組成物から,から,
18,36,パルプから,から,
19,37,紙から,から,
20,37,リールパート等から,から,
21,44,間を、,間,
22,45,湿紙から,から,
23,48,湿紙から,から,
24,48,フェルトから,から,
25,49,右から,から,
26,49,左から,から,
27,50,ことから、,から,
28,64,平成２７年７月頃から、,平成２７年７月,20150700
29,64,平成２７年７月頃から、,頃,
30,64,平成２７年７月頃から、,から,
31,106,できないから、,から,
32,109,外周面からも,から,
33,115,以上から、,から,
34,120,組成物から,から,
35,134,両手変性物ではないから、,から,
36,136,外周面から,から,
37,136,表面付近まで,まで,
38,138,以上から、,から,
39,142,記載内容からすると、,から,
40,150,行っているから、,から,
41,151,ものであるから、,から,
42,151,ことから、,から,
43,160,令和４年９月２２日第２回口頭弁論期日において、,令和４年９月２２日,20220922
44,171,存在したから、,から,
45,179,令和４年２月以降に,令和４年２月,20220200
46,179,令和４年２月以降に,以降,
47,184,以上から、,から,
48,186,裁判所から、,から,
49,186,令和元年１０月１７日第１４回弁論準備手続期日において、,令和元年１０月１７日,20191017
50,186,第１５回弁論準備手続期日から,から,
51,186,令和２年２月１０日付け準備書面において、,令和２年２月１０日,20200210
52,207,記載するのみであるから、,から,
53,220,１か所測定したにすぎないから、,から,
54,221,ことから、,から,
55,225,異なるのであるから、,から,
56,229,以上から、,から,
57,230,令和４年５月１７日、,令和４年５月１７日,20220517
58,230,裁判所から、,から,
59,230,同年７月２２日付け第３８準備書面で,同年７月２２日,20220517
60,230,訴訟提起から,から,
61,230,入ってから,から,
62,230,同日付け第３９準備書面で,同日,20220517
63,233,明らかであるから、,から,
64,265,ことから、,から,
65,265,平成２７年７月から,平成２７年７月,20150700
66,265,平成２７年７月から,から,
67,265,平成２９年３月までが,平成２９年３月,20170300
68,265,平成２９年３月までが,まで,
69,265,同年４月から,同年４月,20170300
70,265,同年４月から,から,
71,265,令和２年３月２６日までが,令和２年３月２６日,20200326
72,265,令和２年３月２６日までが,まで,
73,267,ことから、,から,
74,269,平成２９年５月１６日から、,平成２９年５月１６日,20170516
75,269,平成２９年５月１６日から、,から,
76,269,令和２年３月２６日から,令和２年３月２６日,20200326
77,269,令和２年３月２６日から,から,
78,269,各支払済みまで,まで,
79,273,侵害しているから、,から,
80,274,考えられるから、,から,
81,275,以降、,以降,
82,275,考えられるから、,から,
83,361,規定しているから、,から,
84,370,組成物から,から,
85,370,形成されているから,から,
86,373,奏するのであるから、,から,
87,374,以上から、,から,
88,377,販売時までに,まで,
89,379,なくなるまで,まで,
90,379,なくなるまで,まで,
91,379,なくなるまで,まで,
92,392,加熱硬化するまでの,まで,
93,392,間においては、,間,
94,392,間、,間,
95,396,完了するまでの,まで,
96,396,間は、,間,
97,397,外周面まで,まで,
98,401,販売時までの,まで,
99,401,間において、,間,
100,431,ことから、,から,
101,445,ものであるから、,から,
102,448,困難であるから、,から,
103,450,間で,間,
104,455,認められるから、,から,
105,460,ベルトから、,から,
106,469,製品から,から,
107,472,ことから、,から,
108,472,測定対象から,から,
109,478,明らかであるから、,から,
110,488,第１５回弁論準備手続期日から,から,
111,492,令和４年７月２２日付け第３８準備書面,令和４年７月２２日,20220722
112,492,同日付け第３９準備書面において、,同日,20220722
113,495,同年５月１７日の,同年５月１７日,20220722
114,495,次回協議までの,まで,
115,500,ものであるから、,から,
116,505,認められないから、,から,
117,507,ことから、,から,
118,512,以上から、,から,
119,513,争点３－２から,から,
120,514,平成１１年５月から,平成１１年５月,19990500
121,514,平成１１年５月から,から,
122,514,平成１２年４月までの,平成１２年４月,20000400
123,514,平成１２年４月までの,まで,
124,514,間に、,間,
125,514,平成１１年６月１１日から,平成１１年６月１１日,19990611
126,514,平成１１年６月１１日から,から,
127,514,平成１２年５月９日までの,平成１２年５月９日,20000509
128,514,平成１２年５月９日までの,まで,
129,514,間に,間,
130,519,昭和６３年から,昭和６３年,19880000
131,519,昭和６３年から,から,
132,519,平成８年４月に,平成８年４月,19960400
133,520,平成１１年２月２６日、,平成１１年２月２６日,19990226
134,532,平成１１年３月１日から,平成１１年３月１日,19990301
135,532,平成１１年３月１日から,から,
136,532,同月４日の,同月４日,19990301
137,532,間に,間,
138,532,同年８月５日から,同年８月５日,19990301
139,532,同年８月５日から,から,
140,532,同月１０日の,同月１０日,19990301
141,532,間に,間,
142,532,同年１０月１日から,同年１０月１日,19990301
143,532,同年１０月１日から,から,
144,532,同月５日の,同月５日,19990301
145,532,間に,間,
146,532,平成１２年２月１５日から,平成１２年２月１５日,20000215
147,532,平成１２年２月１５日から,から,
148,532,同月２２日の,同月２２日,20000215
149,532,間に,間,
150,532,頃、,頃,
151,532,平成１１年５月１４日、,平成１１年５月１４日,19990514
152,532,同年９月３日、,同年９月３日,19990514
153,532,同年１０月２１日,同年１０月２１日,19990514
154,532,平成１２年４月２７日、,平成１２年４月２７日,20000427
155,537,組成物から,から,
156,544,平成１１年５月１４日から,平成１１年５月１４日,19990514
157,544,平成１１年５月１４日から,から,
158,544,平成１２年４月２７日までの,平成１２年４月２７日,20000427
159,544,平成１２年４月２７日までの,まで,
160,544,間、,間,
161,549,現物自体からは,から,
162,549,構成されているから、,から,
163,549,知られていなかったから、,から,
164,555,昭和６２年に,昭和６２年,19870000
165,555,平成２年に,平成２年,19900000
166,555,平成１０年に,平成１０年,19980000
167,555,平成１１年に,平成１１年,19990000
168,555,平成３年頃から,平成３年,19910000
169,555,平成３年頃から,頃,
170,555,平成３年頃から,から,
171,555,平成９年７月時点では、,平成９年７月,19970700
172,561,平成３０年６月、,平成３０年６月,20180600
173,567,以上から、,から,
174,567,発明であるから、,から,
175,570,以上から、,から,
176,570,判断するまでもなく、,まで,
177,570,ないから,から,
178,574,パラフェニレンジイソシアネートから,から,
179,574,組成物から,から,
180,586,トルエンジイソシアネートから,から,
181,586,組成物から,から,
182,2,平成３１年１月１１日から,平成３１年１月１１日,20190111
183,2,平成３１年１月１１日から,から,
184,2,支払済みまで,まで,
185,3,平成３１年１月１１日から,平成３１年１月１１日,20190111
186,3,平成３１年１月１１日から,から,
187,3,支払済みまで,まで,
188,5,被告から,から,
189,5,平成３１年１月１１日から,平成３１年１月１１日,20190111
190,5,平成３１年１月１１日から,から,
191,5,支払済みまでの,まで,
192,5,平成２９年法律第４４号による,平成２９年,20170000
193,9,間で、,間,
194,9,平成３１年１月１１日から,平成３１年１月１１日,20190111
195,9,平成３１年１月１１日から,から,
196,9,支払済みまでの,まで,
197,12,平成３１年１月１１日から,平成３１年１月１１日,20190111
